Tên phim,Đạo diễn,Mô tả,Poster URL
Tiếng Thét 2,Wes Craven,"One scene in Kevin Williamson's screenplay was described simply as ""Wes Craven will make it scary.""","https://m.media-amazon.com/images/M/MV5BODE5YWJkMDMtN2ZiNC00MjI5LTkxYTgtOTkyZjUwMjU0YThiXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg"
Phá Sản,Mitchell Hurwitz,"Jason Bateman, Tony Hale, Jeffrey Tambor, and more helped establish ""Arrested Development"" as a critical darling. See which other actors were almost cast in the cult classic.","https://m.media-amazon.com/images/M/MV5BOTk3N2M0MjktMDhkNi00ZGVhLTk4YTUtYjI5MDJmMWUzNTgwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Barbie,Greta Gerwig,"Barbie is 23% larger than everything in Barbieland to mimic the awkward, disproportionate scale that real Barbies and Barbie activity sets are produced in. This is why Barbie sometimes appears too large for things like her car or why ceilings seem to be too low in the Dreamhouses.","https://m.media-amazon.com/images/M/MV5BYjI3NDU0ZGYtYjA2YS00Y2RlLTgwZDAtYTE2YTM5ZjE1M2JlXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Biệt Đội Cảm Tử,David Ayer,Take a look back at Margot Robbie's career on and off the screen.,"https://m.media-amazon.com/images/M/MV5BMjM1OTMxNzUyM15BMl5BanBnXkFtZTgwNjYzMTIzOTE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Sói Già Phố Wall,Martin Scorsese,Cinema legend Martin Scorsese has directed some of the most acclaimed films of all time. See how IMDb users rank all of his feature films as director.,"https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Góc Tối Đồng Tiền,Bill Dubuque,"At the beginning of each episode, the title is shown with four symbols inside of an O that foreshadow events from that episode. The symbols also spell the letters Z-A-R-K to form OZARK altogether.","https://m.media-amazon.com/images/M/MV5BZDk1ZTdjOWItNTJmYS00MGIzLThmY2ItZWNiOGY5MzJlNTA5XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Babylon,Damien Chazelle,The character of Lady Fay Zhu is loosely based on Anna May Wong (1905-1961) the first Chinese-American actress in Hollywood whose career spanned both silent and sound films.,"https://m.media-amazon.com/images/M/MV5BNGY3M2NkN2QtZTdhOS00YTNjLTgyYmMtMGY3Y2U0OTk2NjA0XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Suicide Squad: Điệp Vụ Cảm Tử,James Gunn,"As for how director James Gunn got Sylvester Stallone to voice the role of Nanaue/King Shark, it didn't take a whole lot of convincing. Gunn said to him, ""I wrote this role for you in The Suicide Squad. It won't take too much of your time."" Stallone replied, ""Oh yeah?"" To which Gunn said, ""Yeah. It's a big, kinda chubby, human-eating shark."" To which Stallone said, ""Anything for you, brother.""","https://m.media-amazon.com/images/M/MV5BOGJkN2E2NGUtYzMyNS00Mzg1LWJmZDQtMjExMWYwYmE4OWUwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Birds of Prey: Cuộc Lột Xác Huy Hoàng Của Harley Quinn,Cathy Yan,"When Harley Quinn is leaving the police precinct, she points to a wanted poster and says, ""Hey, I know that guy!"". The wanted poster is that of Captain Boomerang, with whom she worked in Biệt Đội Cảm Tử (2016).","https://m.media-amazon.com/images/M/MV5BNTgwNWEwOWMtNGIxMy00YzU5LTk2MzgtMjAzMmM1MjZiY2RiXkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg"
Tin 'Nóng',Jay Roach,The scene of real character Roger Ailes (John Lithgow) asking the fictitious character of Kayla Pospisil (Margot Robbie) to lift up her skirt was filmed with multiple cameras capturing all the angles at once. Jay Roach didn't want Robbie to have to perform that scene for more than one take.,"https://m.media-amazon.com/images/M/MV5BODY3ODVkYTAtZDFmNS00ZDYyLTlkOTEtNTY3NTFhNDE4ZjFjXkEyXkFqcGc@._V1_QL75_UX190_CR0,6,190,281_.jpg"
